file,ply,side,san,raw,dcc,stability,adsr,trend,momentum,tunnel,dcc1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,62,b,Qb5,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,63,w,Qf3,151,155,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,64,b,e5,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,65,w,Kh2,173,186,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,66,b,Nf6,-173,-160,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,67,w,Nc5,173,176,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,68,b,Qxb2,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,69,w,Nd7,195,208,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,70,b,Nxd7,-195,-181,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,71,w,Qxd5+,195,206,0.333,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,72,b,Kh8,-195,-184,0.333,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,73,w,Qxd7,195,199,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,74,b,Rg8,-195,-191,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,75,w,c4,195,208,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,76,b,e4,-195,-176,0.5,building,↑,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,77,w,Qd2,176,180,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,78,b,Be5+,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,79,w,Kg1,211,222,0.333,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,80,b,Qxd2,-211,-197,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,81,w,Rxd2,211,222,0.333,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,82,b,Kg7,-211,-207,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,83,w,Rd7+,211,225,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,84,b,Kg6,-211,-207,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,85,w,Re7,211,225,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,86,b,Kf6,-211,-198,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,87,w,Rxh7,211,214,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,88,b,Rb8,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,89,w,Rd7,218,222,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,90,b,Bg3,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,91,w,Kf1,230,233,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,92,b,Ke6,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,93,w,Rd4,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,94,b,Ke5,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,95,w,Rd1,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,96,b,Rb3,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,97,w,Ke2,273,277,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,98,b,Kf5,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,99,w,c5,293,307,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,100,b,Rc3,-293,-289,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,101,w,Rd5+,293,297,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,102,b,Ke6,-283,-279,0.5,mixed,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,103,w,Rd4,283,297,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,104,b,Ke5,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,105,w,Rd1,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,106,b,Kf5,-293,-289,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,107,w,Rd5+,293,297,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,108,b,Ke6,-283,-279,0.5,mixed,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,109,w,Rd8,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,110,b,Rc2+,-267,-264,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,111,w,Kd1,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,112,b,Rc3,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,113,w,Kd2,274,278,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,114,b,Ra3,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,115,w,Ke2,281,284,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,116,b,Rc3,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,117,w,Rg8,375,379,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,118,b,Bc7,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,119,w,h4,378,392,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,120,b,Rc2+,-378,-363,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,121,w,Kd1,378,382,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,122,b,Rc3,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,123,w,Kd2,399,403,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,124,b,Ba5,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,125,w,Ke2,415,429,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,126,b,Rc2+,-415,-401,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,127,w,Kf1,415,419,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,128,b,Rc3,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,129,w,Bd2,544,548,0.5,unknown,→,0,0,1
